Date,Close
2018-01-02,268.769989
2018-01-03,270.470001
2018-01-04,271.609985
2018-01-05,273.420013
2018-01-08,273.920013
2018-01-09,274.540009
2018-01-10,274.119995
2018-01-11,276.119995
2018-01-12,277.920013
2018-01-16,276.970001
2018-01-17,279.609985
2018-01-18,279.140015
2018-01-19,280.410004
2018-01-22,282.690002
2018-01-23,283.290009
2018-01-24,283.179993
2018-01-25,283.299988
2018-01-26,286.579987
2018-01-29,284.679993
2018-01-30,281.760010
2018-01-31,281.899994
2018-02-01,281.579987
2018-02-02,275.450012
2018-02-05,263.929993
2018-02-06,269.130005
2018-02-07,267.670013
2018-02-08,257.630005
2018-02-09,261.500000
2018-02-12,265.339996
2018-02-13,266.000000
2018-02-14,269.589996
2018-02-15,273.029999
2018-02-16,273.109985
2018-02-20,271.399994
2018-02-21,270.049988
2018-02-22,270.399994
2018-02-23,274.709991
2018-02-26,277.899994
2018-02-27,274.429993
2018-02-28,271.649994
2018-03-01,267.700012
2018-03-02,269.079987
2018-03-05,272.190002
2018-03-06,272.880005
2018-03-07,272.779999
2018-03-08,274.100006
2018-03-09,278.869995
2018-03-12,278.519989
2018-03-13,276.720001
2018-03-14,275.299988
2018-03-15,275.000000
2018-03-16,274.200012
2018-03-19,270.489990
2018-03-20,270.950012
2018-03-21,270.429993
2018-03-22,263.670013
2018-03-23,258.049988
2018-03-26,265.109985
2018-03-27,260.600006
2018-03-28,259.829987
2018-03-29,263.149994
2018-04-02,257.470001
2018-04-03,260.769989
2018-04-04,263.559998
2018-04-05,265.640015
2018-04-06,259.720001
2018-04-09,261.000000
2018-04-10,265.149994
2018-04-11,263.760010
2018-04-12,265.929993
2018-04-13,265.149994
2018-04-16,267.329987
2018-04-17,270.190002
2018-04-18,270.390015
2018-04-19,268.890015
2018-04-20,266.609985
2018-04-23,266.570007
2018-04-24,262.980011
2018-04-25,263.630005
2018-04-26,266.309998
2018-04-27,266.559998
2018-04-30,264.510010
2018-05-01,264.980011
2018-05-02,263.200012
2018-05-03,262.619995
2018-05-04,266.019989
2018-05-07,266.920013
2018-05-08,266.920013
2018-05-09,269.500000
2018-05-10,272.019989
2018-05-11,272.850006
2018-05-14,272.980011
2018-05-15,271.100006
2018-05-16,272.239990
2018-05-17,272.010010
2018-05-18,271.329987
2018-05-21,273.369995
